season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain,href
2022,1298179,ENG v PAK,PAK,ENG,ENG,Melbourne Cricket Ground,Melbourne,Australia,1,BA Stokes,Ben Stokes,4,0,32,1,8.00,6,1,0,2,1,False,https://www.espncricinfo.com/ci/content/player/311158.html
2022,1298179,ENG v PAK,PAK,ENG,ENG,Melbourne Cricket Ground,Melbourne,Australia,1,CR Woakes,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0,False,https://www.espncricinfo.com/ci/content/player/247235.html
2022,1298179,ENG v PAK,PAK,ENG,ENG,Melbourne Cricket Ground,Melbourne,Australia,1,SM Curran,Sam Curran,4,0,12,3,3.00,15,0,0,0,0,False,https://www.espncricinfo.com/ci/content/player/662973.html
2022,1298179,ENG v PAK,PAK,ENG,ENG,Melbourne Cricket Ground,Melbourne,Australia,1,AU Rashid,Adil Rashid,4,1,22,2,5.50,10,1,0,1,0,False,https://www.espncricinfo.com/ci/content/player/244497.html
2022,1298179,ENG v PAK,PAK,ENG,ENG,Melbourne Cricket Ground,Melbourne,Australia,1,CJ Jordan,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0,False,https://www.espncricinfo.com/ci/content/player/288992.html
2022,1298179,ENG v PAK,PAK,ENG,ENG,Melbourne Cricket Ground,Melbourne,Australia,1,LS Livingstone,Liam Livingstone,1,0,16,0,16.00,1,1,1,1,0,False,https://www.espncricinfo.com/ci/content/player/403902.html
2022,1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,Australia,2,Shaheen Shah Afridi,Shaheen Shah Afridi,2.1,0,13,1,6.00,6,1,0,0,0,False,https://www.espncricinfo.com/ci/content/player/1072470.html
2022,1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,Australia,2,Naseem Shah,Naseem Shah,4,0,30,0,7.50,15,3,1,1,0,False,https://www.espncricinfo.com/ci/content/player/1158088.html
2022,1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,Australia,2,Haris Rauf,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0,False,https://www.espncricinfo.com/ci/content/player/1161606.html
2022,1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,Australia,2,Shadab Khan,Shadab Khan,4,0,20,1,5.00,10,1,0,0,0,False,https://www.espncricinfo.com/ci/content/player/922943.html
2022,1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,Australia,2,Mohammad Wasim(1),Mohammad Wasim,4,0,38,1,9.50,5,5,0,2,0,False,https://www.espncricinfo.com/ci/content/player/1185538.html
2022,1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,Australia,2,Iftikhar Ahmed,Iftikhar Ahmed,0.5,0,13,0,15.60,0,1,1,0,0,False,https://www.espncricinfo.com/ci/content/player/480603.html
2022,1298178,ENG v INDIA,INDIA,ENG,ENG,Adelaide Oval,Adelaide,Australia,1,BA Stokes,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/311158.html
2022,1298178,ENG v INDIA,INDIA,ENG,ENG,Adelaide Oval,Adelaide,Australia,1,CR Woakes,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0,False,https://www.espncricinfo.com/ci/content/player/247235.html
2022,1298178,ENG v INDIA,INDIA,ENG,ENG,Adelaide Oval,Adelaide,Australia,1,SM Curran,Sam Curran,4,0,42,0,10.50,9,5,2,0,0,False,https://www.espncricinfo.com/ci/content/player/662973.html
2022,1298178,ENG v INDIA,INDIA,ENG,ENG,Adelaide Oval,Adelaide,Australia,1,AU Rashid,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0,False,https://www.espncricinfo.com/ci/content/player/244497.html
2022,1298178,ENG v INDIA,INDIA,ENG,ENG,Adelaide Oval,Adelaide,Australia,1,LS Livingstone,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0,False,https://www.espncricinfo.com/ci/content/player/403902.html
2022,1298178,ENG v INDIA,INDIA,ENG,ENG,Adelaide Oval,Adelaide,Australia,1,CJ Jordan,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,False,https://www.espncricinfo.com/ci/content/player/288992.html
2022,1298178,ENG v INDIA,INDIA,ENG,INDIA,Adelaide Oval,Adelaide,Australia,2,B Kumar,Bhuvneshwar Kumar,2,0,25,0,12.50,4,3,1,1,0,False,https://www.espncricinfo.com/ci/content/player/326016.html
