season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,highlights,home_key_batsman,home_key_bowler,home_playx1,away_playx1,away_key_batsman,away_key_bowler,match_days,umpire1,umpire2,tv_umpire,referee,reserve_umpire
2022,1298179,England v Pakistan,ENG v PAK,"Final (N), ICC Men's T20 World Cup at Melbourne, Nov 13 2022",ENG,PAK,England,BOWL FIRST,137/8,138/5,138/5,137/8,ENG,England won by 5 wkts (6b rem),2022-11-13T08:00Z,2022-11-14T23:59Z,56441,Melbourne Cricket Ground,Jos Buttler,Babar Azam,Sam Curran,None,False,19,138,5,16,20,137,8,10,,"Ben Stokes,Jos Buttler","Sam Curran,Adil Rashid","Jos Buttler (WK),Alex Hales (UKN),Phil Salt (UKN),Ben Stokes (AR),Harry Brook (UKN),Moeen Ali (AR),Liam Livingstone (AR),Sam Curran (AR),Chris Woakes (AR),Chris Jordan (BL),Adil Rashid (BL)","Mohammad Rizwan (WK),Babar Azam (UKN),Mohammad Haris (UKN),Shan Masood (UKN),Iftikhar Ahmed (UKN),Shadab Khan (AR),Mohammad Nawaz (AR),Mohammad Wasim (AR),Shaheen Shah Afridi (BL),Haris Rauf (BL),Naseem Shah (BL)","Shan Masood,Babar Azam","Haris Rauf,Shaheen Shah Afridi",13 November 2022 - night match (20-over match),Kumar Dharmasena,Marais Erasmus,Chris Gaffaney,Ranjan Madugalle,Paul Reiffel
2022,1298178,England v India,ENG v INDIA,"2nd Semi-Final (N), ICC Men's T20 World Cup at Adelaide, Nov 10 2022",ENG,INDIA,England,BOWL FIRST,168/6,170/0,170/0,168/6,ENG,England won by 10 wkts (24b rem),2022-11-10T08:00Z,2022-11-11T23:59Z,56293,Adelaide Oval,Jos Buttler,Rohit Sharma,Alex Hales,None,False,16,170,0,23,20,168,6,22,"Alex Hales and Jos Buttler carry England into final with 10-wicket mauling of India. India could manage only 168 for 6, before the England openers took charge","Alex Hales,Jos Buttler","Chris Jordan,Adil Rashid","Jos Buttler (WK),Alex Hales (UKN),Phil Salt (UKN),Ben Stokes (AR),Harry Brook (UKN),Liam Livingstone (AR),Moeen Ali (AR),Sam Curran (AR),Chris Woakes (AR),Chris Jordan (BL),Adil Rashid (BL)","KL Rahul (UKN),Rohit Sharma (UKN),Virat Kohli (UKN),Suryakumar Yadav (UKN),Hardik Pandya (AR),Rishabh Pant (WK),Ravichandran Ashwin (AR),Axar Patel (AR),Bhuvneshwar Kumar (BL),Mohammed Shami (BL),Arshdeep Singh (BL)","Hardik Pandya,Virat Kohli","Hardik Pandya,Bhuvneshwar Kumar",10 November 2022 - night match (20-over match),Kumar Dharmasena,Paul Reiffel,Chris Gaffaney,David Boon,Rod Tucker
2022,1298177,New Zealand v Pakistan,NZ v PAK,"1st Semi-Final (N), ICC Men's T20 World Cup at Sydney, Nov 9 2022",NZ,PAK,New Zealand,BAT FIRST,152/4,153/3,152/4,153/3,PAK,Pakistan won by 7 wkts (5b rem),2022-11-09T08:00Z,2022-11-10T23:59Z,56544,Sydney Cricket Ground,Kane Williamson,Babar Azam,Mohammad Rizwan,None,False,20,152,4,12,19.1,153,3,15,"Near-perfect Pakistan make light work of New Zealand to storm into final. The old firm of Mohammad Rizwan and Babar Azam did the job on the night, after Shaheen Afridi and Co had applied the squeeze on New Zealand","Daryl Mitchell,Kane Williamson","Trent Boult,Mitchell Santner","Finn Allen (UKN),Devon Conway (WK),Kane Williamson (UKN),Glenn Phillips (UKN),Daryl Mitchell (AR),James Neesham (AR),Mitchell Santner (AR),Tim Southee (BL),Ish Sodhi (BL),Lockie Ferguson (BL),Trent Boult (BL)","Mohammad Rizwan (WK),Babar Azam (UKN),Mohammad Haris (UKN),Shan Masood (UKN),Iftikhar Ahmed (UKN),Mohammad Nawaz (AR),Shadab Khan (AR),Mohammad Wasim (AR),Naseem Shah (BL),Haris Rauf (BL),Shaheen Shah Afridi (BL)","Mohammad Rizwan,Babar Azam","Shaheen Shah Afridi,Mohammad Nawaz",9 November 2022 - night match (20-over match),Marais Erasmus,Richard Illingworth,Richard Kettleborough,Chris Broad,Michael Gough
2022,1298176,India v Zimbabwe,INDIA v ZIM,"42nd Match, Group 2 (N), ICC Men's T20 World Cup at Melbourne, Nov 6 2022",INDIA,ZIM,India,BAT FIRST,186/5,115,186/5,115,INDIA,India won by 71 runs,2022-11-06T08:00Z,2022-11-07T23:59Z,56441,Melbourne Cricket Ground,Rohit Sharma,Craig Ervine,Suryakumar Yadav,"India 2, Zimbabwe 0",False,20,186,5,22,17.2,115,10,14,"Suryakumar leads India's charge to top of Group 2. Rahul also hits a half-century, before Zimbabwe wilt in their chase of 187; India to face England in the semi-final","Suryakumar Yadav,KL Rahul","Ravichandran Ashwin,Mohammed Shami","KL Rahul (UKN),Rohit Sharma (UKN),Virat Kohli (UKN),Suryakumar Yadav (UKN),Rishabh Pant (WK),Hardik Pandya (AR),Axar Patel (AR),Ravichandran Ashwin (AR),Bhuvneshwar Kumar (BL),Mohammed Shami (BL),Arshdeep Singh (BL)","Wessly Madhevere (AR),Craig Ervine (UKN),Regis Chakabva (WK),Sean Williams (UKN),Sikandar Raza (AR),Tony Munyonga (AR),Ryan Burl (UKN),Wellington Masakadza (BL),Richard Ngarava (BL),Tendai Chatara (BL),Blessing Muzarabani (BL)","Ryan Burl,Sikandar Raza","Sean Williams,Sikandar Raza",6 November 2022 - night match (20-over match),Richard Kettleborough,Rod Tucker,Aleem Dar,David Boon,Chris Brown
2022,1298175,Bangladesh v Pakistan,BAN v PAK,"41st Match, Group 2, ICC Men's T20 World Cup at Adelaide, Nov 6 2022",BAN,PAK,Bangladesh,BAT FIRST,127/8,128/5,127/8,128/5,PAK,Pakistan won by 5 wkts (11b rem),2022-11-06T04:00Z,2022-11-07T23:59Z,56293,Adelaide Oval,Shakib Al Hasan,Babar Azam,Shaheen Shah Afridi,"Pakistan 2, Bangladesh 0",False,20,127,8,14,18.1,128,5,10,Pakistan grab unexpected lifeline to make the semi-finals. Shaheen Afridi took four wickets to restrict Bangladesh to 127 in a knockout clash in Adelaide,"Najmul Hossain Shanto,Afif Hossain","Nasum Ahmed,Mustafizur Rahman","Najmul Hossain Shanto (UKN),Litton Das (UKN),Soumya Sarkar (UKN),Shakib Al Hasan (AR),Afif Hossain (AR),Mosaddek Hossain (UKN),Nurul Hasan (WK),Taskin Ahmed (BL),Nasum Ahmed (BL),Mustafizur Rahman (BL),Ebadot Hossain (BL)","Mohammad Rizwan (WK),Babar Azam (UKN),Mohammad Nawaz (AR),Mohammad Haris (UKN),Shan Masood (UKN),Iftikhar Ahmed (UKN),Shadab Khan (AR),Mohammad Wasim (AR),Naseem Shah (BL),Haris Rauf (BL),Shaheen Shah Afridi (BL)","Mohammad Rizwan,Mohammad Haris","Shaheen Shah Afridi,Shadab Khan",6 November 2022 (20-over match),Adrian Holdstock,Joel Wilson,Langton Rusere,Chris Broad,Michael Gough
2022,1298174,Netherlands v South Africa,NED v SA,"40th Match, Group 2, ICC Men's T20 World Cup at Adelaide, Nov 6 2022",NED,SA,South Africa,BOWL FIRST,158/4,145/8,158/4,145/8,NED,Netherlands won by 13 runs,2022-11-06T00:00Z,2022-11-07T23:59Z,56293,Adelaide Oval,Scott Edwards,Temba Bavuma,Colin Ackermann,"Netherlands 2, South Africa 0",False,20,158,4,20,20,145,8,12,"Shock defeat ends South Africa's World Cup as Netherlands script famous win. Result guarantees India a spot in the semi-finals, while the Bangladesh vs Pakistan match becomes a knockout","Colin Ackermann,Stephan Myburgh","Brandon Glover,Fred Klaassen","Stephan Myburgh (UKN),Max O'Dowd (UKN),Tom Cooper (UKN),Colin Ackermann (AR),Bas de Leede (AR),Scott Edwards (WK),Roelof van der Merwe (AR),Logan van Beek (BL),Fred Klaassen (BL),Paul van Meekeren (BL),Brandon Glover (BL)","Quinton de Kock (WK),Temba Bavuma (UKN),Rilee Rossouw (UKN),Aiden Markram (UKN),David Miller (UKN),Heinrich Klaasen (UKN),Wayne Parnell (BL),Keshav Maharaj (BL),Kagiso Rabada (BL),Anrich Nortje (BL),Lungi Ngidi (BL)","Rilee Rossouw,Heinrich Klaasen","Keshav Maharaj,Anrich Nortje",6 November 2022 (20-over match),Michael Gough,Langton Rusere,Richard Illingworth,Chris Broad,Joel Wilson
2022,1298173,England v Sri Lanka,ENG v SL,"39th Match, Group 1 (N), ICC Men's T20 World Cup at Sydney, Nov 5 2022",ENG,SL,Sri Lanka,BAT FIRST,141/8,144/6,144/6,141/8,ENG,England won by 4 wkts (2b rem),2022-11-05T08:00Z,2022-11-06T23:59Z,56544,Sydney Cricket Ground,Jos Buttler,Dasun Shanaka,Adil Rashid,"England 2, Sri Lanka 0",False,19.4,144,6,14,20,141,8,13,Ben Stokes guides nervy England through to World Cup semi-finals. Sri Lanka take chase down to final over as England middle order unravels after fast start,"Alex Hales,Ben Stokes","Mark Wood,Adil Rashid","Jos Buttler (WK),Alex Hales (UKN),Ben Stokes (AR),Harry Brook (UKN),Liam Livingstone (AR),Moeen Ali (AR),Sam Curran (AR),Chris Woakes (AR),Dawid Malan (UKN),Mark Wood (BL),Adil Rashid (BL)","Pathum Nissanka (UKN),Kusal Mendis (WK),Dhananjaya de Silva (AR),Charith Asalanka (AR),Bhanuka Rajapaksa (UKN),Dasun Shanaka (AR),Wanindu Hasaranga de Silva (AR),Chamika Karunaratne (AR),Maheesh Theekshana (BL),Kasun Rajitha (BL),Lahiru Kumara (BL)","Pathum Nissanka,Bhanuka Rajapaksa","Wanindu Hasaranga de Silva,Dhananjaya de Silva",5 November 2022 - night match (20-over match),Paul Reiffel,Paul Wilson,Nitin Menon,Andy Pycroft,Chris Gaffaney
2022,1298172,Australia v Afghanistan,AUS v AFG,"38th Match, Group 1 (N), ICC Men's T20 World Cup at Adelaide, Nov 4 2022",AUS,AFG,Afghanistan,BOWL FIRST,168/8,164/7,168/8,164/7,AUS,Australia won by 4 runs,2022-11-04T08:00Z,2022-11-05T23:59Z,56293,Adelaide Oval,Matthew Wade,Mohammad Nabi,Glenn Maxwell,"Australia 2, Afghanistan 0",False,20,168,8,22,20,164,7,19,Australia relying on Sri Lanka after sneaking past Afghanistan. Narrow victory means England will qualify for the semi-finals if they win on Saturday,"Glenn Maxwell,Mitchell Marsh","Adam Zampa,Josh Hazlewood","David Warner (UKN),Cameron Green (AR),Mitchell Marsh (AR),Steven Smith (UKN),Marcus Stoinis (AR),Glenn Maxwell (AR),Matthew Wade (WK),Pat Cummins (BL),Kane Richardson (BL),Adam Zampa (BL),Josh Hazlewood (BL)","Rahmanullah Gurbaz (WK),Usman Ghani (UKN),Ibrahim Zadran (UKN),Gulbadin Naib (AR),Mohammad Nabi (AR),Najibullah Zadran (UKN),Darwish Rasooli (UKN),Rashid Khan (AR),Naveen-ul-Haq (BL),Mujeeb Ur Rahman (BL),Fazalhaq Farooqi (BL)","Rashid Khan,Gulbadin Naib","Naveen-ul-Haq,Fazalhaq Farooqi",4 November 2022 - night match (20-over match),Aleem Dar,Langton Rusere,Adrian Holdstock,Ranjan Madugalle,Kumar Dharmasena
2022,1298171,Ireland v New Zealand,IRE v NZ,"37th Match, Group 1, ICC Men's T20 World Cup at Adelaide, Nov 4 2022",IRE,NZ,Ireland,BOWL FIRST,185/6,150/9,150/9,185/6,NZ,New Zealand won by 35 runs,2022-11-04T04:00Z,2022-11-05T23:59Z,56293,Adelaide Oval,Andy Balbirnie,Kane Williamson,Kane Williamson,"New Zealand 2, Ireland 0",False,20,150,9,15,20,185,6,21,Williamson's 35-ball 61 punches New Zealand's ticket to the T20 World Cup semi-final. Josh Little's hat-trick was Ireland's biggest consolation as they slipped to a 35-run defeat in their last match of the tournament,"Paul Stirling,Andy Balbirnie","Josh Little,Gareth Delany","Paul Stirling (AR),Andy Balbirnie (UKN),Lorcan Tucker (WK),Harry Tector (UKN),Gareth Delany (AR),George Dockrell (AR),Curtis Campher (AR),Fionn Hand (AR),Mark Adair (AR),Barry McCarthy (BL),Josh Little (BL)","Finn Allen (UKN),Devon Conway (WK),Kane Williamson (UKN),Glenn Phillips (UKN),Daryl Mitchell (AR),James Neesham (AR),Mitchell Santner (AR),Tim Southee (BL),Ish Sodhi (BL),Lockie Ferguson (BL),Trent Boult (BL)","Kane Williamson,Finn Allen","Lockie Ferguson,Mitchell Santner",4 November 2022 (20-over match),Kumar Dharmasena,Richard Illingworth,Aleem Dar,Ranjan Madugalle,Adrian Holdstock
2022,1298170,Pakistan v South Africa,PAK v SA,"36th Match, Group 2 (N), ICC Men's T20 World Cup at Sydney, Nov 3 2022",PAK,SA,Pakistan,BAT FIRST,185/9,108/9,185/9,108/9,PAK,Pakistan won by 33 runs (D/L),2022-11-03T08:00Z,2022-11-04T23:59Z,56544,Sydney Cricket Ground,Babar Azam,Temba Bavuma,Shadab Khan,"Pakistan 2, South Africa 0",False,20,185,9,23,14,108,9,15,Shadab Khan's all-round heroics keep Pakistan's semi-final hopes alive. He followed up a 22-ball 52 with two crucial wickets as Pakistan came back from behind to down South Africa in a rain-hit contest,"Shadab Khan,Iftikhar Ahmed","Shaheen Shah Afridi,Shadab Khan","Mohammad Rizwan (WK),Babar Azam (UKN),Mohammad Haris (UKN),Shan Masood (UKN),Iftikhar Ahmed (UKN),Mohammad Nawaz (AR),Shadab Khan (AR),Mohammad Wasim (AR),Naseem Shah (BL),Haris Rauf (BL),Shaheen Shah Afridi (BL)","Temba Bavuma (UKN),Quinton de Kock (WK),Rilee Rossouw (UKN),Aiden Markram (UKN),Heinrich Klaasen (UKN),Tristan Stubbs (UKN),Wayne Parnell (BL),Kagiso Rabada (BL),Anrich Nortje (BL),Lungi Ngidi (BL),Tabraiz Shamsi (BL)","Temba Bavuma,Aiden Markram","Anrich Nortje,Wayne Parnell",3 November 2022 - night match (20-over match),Chris Gaffaney,Paul Reiffel,Paul Wilson,Andy Pycroft,Nitin Menon
